index,encoder1,encoder2,turn angle degrees,ms,mA
1.0,1458.0,1559.0,0.0,0.0,983.7
1.0,1459.0,1561.0,0.0,6.0,923.1
1.0,1469.0,1570.0,0.0,12.0,712.8
1.0,1488.0,1588.0,0.0,19.0,92.6
1.0,1519.0,1621.0,0.0,29.0,422.5
1.0,1536.0,1645.0,0.0,39.0,777.1
1.0,1550.0,1665.0,0.0,49.0,1035.0
1.0,1574.0,1684.0,0.0,59.0,1340.9
1.0,1601.0,1711.0,0.0,69.0,1643.2
1.0,1627.0,1749.0,0.0,80.0,1535.6
1.0,1660.0,1784.0,0.0,90.0,1303.3
1.0,1700.0,1823.0,0.0,100.0,1154.7
1.0,1740.0,1866.0,0.0,110.0,880.2
1.0,1782.0,1910.0,0.0,121.0,657.0
1.0,1830.0,1957.0,0.0,131.0,392.2
1.0,1878.0,2005.0,0.0,141.0,207.5
1.0,1929.0,2056.0,0.0,150.0,465.1
1.0,1982.0,2111.0,0.0,160.0,781.1
1.0,2038.0,2168.0,0.0,171.0,997.7
1.0,2096.0,2225.0,0.0,181.0,1286.9
1.0,2158.0,2283.0,0.0,191.0,1216.0
1.0,2222.0,2345.0,0.0,201.0,1092.0
1.0,2286.0,2410.0,0.0,212.0,883.7
1.0,2350.0,2475.0,0.0,222.0,718.2
1.0,2416.0,2544.0,0.0,232.0,481.7
1.0,2486.0,2617.0,0.0,242.0,345.6
1.0,2556.0,2691.0,0.0,253.0,181.7
1.0,2626.0,2766.0,0.0,262.0,90.6
1.0,2696.0,2841.0,0.0,272.0,31.8
1.0,2772.0,2915.0,0.0,282.0,13.3
1.0,2852.0,2993.0,0.0,293.0,14.2
1.0,2932.0,3072.0,0.0,303.0,15.3
1.0,3012.0,3152.0,0.0,313.0,15.6
1.0,3097.0,3235.0,0.0,323.0,16.4
1.0,3182.0,3321.0,0.0,334.0,17.5
1.0,3265.0,3407.0,0.0,344.0,19.6
1.0,3349.0,3494.0,0.0,354.0,24.7
1.0,3440.0,3584.0,0.0,364.0,46.4
1.0,3532.0,3674.0,0.0,373.0,180.4
1.0,3620.0,3766.0,0.0,384.0,42.6
1.0,3712.0,3862.0,0.0,394.0,14.6
1.0,3809.0,3958.0,0.0,404.0,12.1
1.0,3903.0,4053.0,0.0,414.0,13.6
1.0,3998.0,4150.0,0.0,425.0,13.9
1.0,4097.0,4246.0,0.0,435.0,12.5
1.0,4198.0,4346.0,0.0,445.0,17.1
1.0,4298.0,4449.0,0.0,455.0,19.3
1.0,4400.0,4552.0,0.0,466.0,20.1
1.0,4499.0,4653.0,0.0,475.0,33.5
1.0,4600.0,4756.0,0.0,485.0,90.2
1.0,4706.0,4858.0,0.0,495.0,336.8
1.0,4810.0,4964.0,0.0,506.0,514.2
1.0,4916.0,5073.0,0.0,516.0,779.2
1.0,5024.0,5180.0,0.0,526.0,971.1
1.0,5131.0,5286.0,0.0,536.0,943.3
1.0,5240.0,5394.0,0.0,547.0,963.9
1.0,5350.0,5502.0,0.0,557.0,809.1
1.0,5462.0,5614.0,0.0,567.0,591.7
1.0,5576.0,5729.0,0.0,577.0,466.3
1.0,5689.0,5844.0,0.0,586.0,333.7
1.0,5802.0,5956.0,0.0,597.0,177.3
1.0,5916.0,6069.0,0.0,607.0,96.8
1.0,6030.0,6184.0,0.0,617.0,36.5
1.0,6147.0,6303.0,0.0,627.0,13.6
1.0,6264.0,6422.0,0.0,638.0,11.7
1.0,6378.0,6540.0,0.0,648.0,926.6
1.0,6494.0,6658.0,0.0,658.0,1024.0
1.0,6613.0,6778.0,0.0,668.0,898.7
1.0,6732.0,6902.0,0.0,679.0,642.4
1.0,6853.0,7024.0,0.0,688.0,487.4
1.0,6973.0,7143.0,0.0,698.0,352.5
1.0,7095.0,7263.0,0.0,708.0,215.0
1.0,7220.0,7384.0,0.0,719.0,135.2
1.0,7345.0,7509.0,0.0,729.0,54.4
1.0,7470.0,7635.0,0.0,739.0,17.5
1.0,7596.0,7758.0,0.0,749.0,11.9
1.0,7723.0,7882.0,0.0,760.0,12.4
1.0,7850.0,8007.0,0.0,770.0,13.8
1.0,7977.0,8134.0,0.0,780.0,13.4
1.0,8104.0,8262.0,0.0,789.0,14.3
1.0,8232.0,8391.0,0.0,799.0,17.9
1.0,8360.0,8518.0,0.0,810.0,18.5
1.0,8488.0,8649.0,0.0,820.0,25.4
1.0,8618.0,8782.0,0.0,830.0,56.7
1.0,8748.0,8913.0,0.0,840.0,213.7
1.0,8879.0,9042.0,0.0,851.0,414.9
1.0,9010.0,9173.0,0.0,861.0,620.6
1.0,9143.0,9306.0,0.0,871.0,767.9
1.0,9278.0,9439.0,0.0,881.0,893.9
1.0,9413.0,9573.0,0.0,892.0,958.1
1.0,9549.0,9708.0,0.0,901.0,720.7
1.0,9686.0,9846.0,0.0,911.0,619.1
1.0,9824.0,9986.0,0.0,921.0,15.5
1.0,9965.0,10122.0,0.0,932.0,324.0
1.0,10106.0,10257.0,0.0,942.0,214.7
1.0,10245.0,10394.0,0.0,952.0,110.6
1.0,10384.0,10534.0,0.0,962.0,48.7
1.0,10525.0,10672.0,0.0,973.0,16.1
