index,encoder1,encoder2,turn angle degrees,ms,mA
1.0,0.0,0.0,0.0,1.0,223.9
1.0,2.0,3.0,0.0,8.0,119.5
1.0,7.0,13.0,0.0,15.0,1044.3
1.0,12.0,27.0,0.0,21.0,1268.6
1.0,23.0,56.0,0.0,31.0,1587.2
1.0,34.0,77.0,0.0,41.0,1833.8
1.0,47.0,100.0,0.0,52.0,1610.5
1.0,70.0,131.0,0.0,62.0,1389.5
1.0,99.0,154.0,0.0,71.0,1174.5
1.0,134.0,189.0,0.0,81.0,788.6
1.0,172.0,230.0,0.0,92.0,552.6
1.0,218.0,269.0,0.0,102.0,359.4
1.0,263.0,311.0,0.0,112.0,161.7
1.0,310.0,358.0,0.0,122.0,57.5
1.0,362.0,406.0,0.0,133.0,15.3
1.0,412.0,458.0,0.0,143.0,15.3
1.0,463.0,512.0,0.0,153.0,15.4
1.0,517.0,567.0,0.0,163.0,16.2
1.0,574.0,627.0,0.0,174.0,16.5
1.0,635.0,690.0,0.0,184.0,17.3
1.0,698.0,753.0,0.0,193.0,19.3
1.0,762.0,820.0,0.0,203.0,21.5
1.0,830.0,887.0,0.0,213.0,47.2
1.0,898.0,958.0,0.0,224.0,121.5
1.0,969.0,1031.0,0.0,234.0,423.2
1.0,1040.0,1104.0,0.0,244.0,687.1
1.0,1113.0,1178.0,0.0,254.0,896.0
1.0,1188.0,1254.0,0.0,265.0,992.1
1.0,1268.0,1334.0,0.0,275.0,14.4
1.0,1350.0,1416.0,0.0,285.0,15.7
1.0,1434.0,1500.0,0.0,294.0,17.3
1.0,1521.0,1586.0,0.0,305.0,17.7
1.0,1606.0,1672.0,0.0,315.0,22.9
1.0,1690.0,1760.0,0.0,325.0,37.6
1.0,1774.0,1848.0,0.0,335.0,107.9
1.0,1864.0,1936.0,0.0,346.0,402.1
1.0,1958.0,2028.0,0.0,356.0,550.3
1.0,2050.0,2124.0,0.0,366.0,760.2
1.0,2147.0,2223.0,0.0,376.0,993.5
1.0,2244.0,2320.0,0.0,387.0,1062.4
1.0,2337.0,2419.0,0.0,397.0,1004.7
1.0,2432.0,2518.0,0.0,406.0,779.3
1.0,2532.0,2616.0,0.0,416.0,641.7
1.0,2632.0,2717.0,0.0,426.0,439.0
1.0,2734.0,2822.0,0.0,437.0,299.1
1.0,2838.0,2926.0,0.0,447.0,159.4
1.0,2940.0,3034.0,0.0,457.0,80.5
1.0,3042.0,3141.0,0.0,467.0,25.5
1.0,3150.0,3246.0,0.0,478.0,11.2
1.0,3259.0,3354.0,0.0,488.0,11.6
1.0,3372.0,3466.0,0.0,498.0,12.5
1.0,3484.0,3578.0,0.0,507.0,904.5
1.0,3594.0,3691.0,0.0,518.0,818.8
1.0,3706.0,3803.0,0.0,528.0,622.2
1.0,3821.0,3917.0,0.0,538.0,471.5
1.0,3935.0,4035.0,0.0,548.0,288.7
1.0,4049.0,4154.0,0.0,559.0,189.6
1.0,4161.0,4273.0,0.0,569.0,90.6
1.0,4275.0,4392.0,0.0,579.0,31.0
1.0,4394.0,4510.0,0.0,589.0,12.0
1.0,4512.0,4631.0,0.0,599.0,11.5
1.0,4632.0,4754.0,0.0,609.0,13.3
1.0,4750.0,4877.0,0.0,619.0,12.4
1.0,4868.0,4998.0,0.0,629.0,13.3
1.0,4990.0,5119.0,0.0,639.0,17.0
1.0,5116.0,5244.0,0.0,650.0,16.1
1.0,5242.0,5370.0,0.0,660.0,17.4
1.0,5366.0,5499.0,0.0,670.0,36.5
1.0,5490.0,5626.0,0.0,680.0,119.8
1.0,5616.0,5752.0,0.0,691.0,319.2
1.0,5746.0,5882.0,0.0,701.0,494.7
1.0,5876.0,6013.0,0.0,711.0,650.6
1.0,6004.0,6144.0,0.0,720.0,818.4
1.0,6134.0,6274.0,0.0,731.0,882.2
1.0,6266.0,6406.0,0.0,741.0,784.6
1.0,6402.0,6538.0,0.0,751.0,670.3
1.0,6538.0,6671.0,0.0,761.0,532.5
1.0,6670.0,6804.0,0.0,772.0,356.1
1.0,6805.0,6935.0,0.0,782.0,28.3
1.0,6942.0,7068.0,0.0,792.0,77.0
1.0,7078.0,7205.0,0.0,802.0,268.4
1.0,7210.0,7344.0,0.0,812.0,444.7
1.0,7342.0,7480.0,0.0,822.0,610.1
1.0,7478.0,7616.0,0.0,832.0,737.1
1.0,7615.0,7753.0,0.0,842.0,820.3
1.0,7750.0,7891.0,0.0,852.0,784.2
1.0,7883.0,8029.0,0.0,863.0,657.7
1.0,8018.0,8166.0,0.0,873.0,531.3
1.0,8157.0,8306.0,0.0,883.0,390.8
1.0,8298.0,8447.0,0.0,893.0,254.9
1.0,8438.0,8589.0,0.0,904.0,158.9
1.0,8576.0,8729.0,0.0,914.0,71.6
1.0,8718.0,8871.0,0.0,924.0,25.6
1.0,8862.0,9014.0,0.0,933.0,10.6
1.0,9008.0,9159.0,0.0,944.0,10.2
