index,encoder1,encoder2,turn angle degrees,ms,mA
1.0,0.0,0.0,0.0,1.0,17.399999999999999
1.0,4.0,5.0,0.0,9.0,16.0
1.0,21.0,22.0,0.0,16.0,2569.5
1.0,41.0,38.0,0.0,23.0,16.699999999999999
1.0,66.0,55.0,0.0,31.0,18.899999999999999
1.0,85.0,81.0,0.0,41.0,20.800000000000001
1.0,108.0,107.0,0.0,52.0,21.300000000000001
1.0,142.0,135.0,0.0,62.0,28.800000000000001
1.0,180.0,168.0,0.0,72.0,50.5
1.0,224.0,216.0,0.0,82.0,194.80000000000001
1.0,272.0,264.0,0.0,93.0,590.20000000000005
1.0,323.0,313.0,0.0,103.0,887.79999999999995
1.0,380.0,365.0,0.0,113.0,1155.5999999999999
1.0,436.0,422.0,0.0,123.0,1352.2
1.0,494.0,485.0,0.0,132.0,1610.0999999999999
1.0,556.0,548.0,0.0,143.0,1663.0
1.0,623.0,616.0,0.0,153.0,1309.0
1.0,692.0,687.0,0.0,163.0,993.89999999999998
1.0,765.0,759.0,0.0,173.0,777.39999999999998
1.0,842.0,837.0,0.0,184.0,572.79999999999995
1.0,920.0,916.0,0.0,194.0,353.10000000000002
1.0,1000.0,996.0,0.0,204.0,226.09999999999999
1.0,1081.0,1077.0,0.0,214.0,98.700000000000003
1.0,1166.0,1163.0,0.0,225.0,29.199999999999999
1.0,1256.0,1254.0,0.0,235.0,14.800000000000001
1.0,1346.0,1346.0,0.0,244.0,14.5
1.0,1438.0,1439.0,0.0,254.0,14.800000000000001
1.0,1533.0,1536.0,0.0,265.0,17.300000000000001
1.0,1630.0,1633.0,0.0,275.0,1091.2
1.0,1728.0,1733.0,0.0,285.0,1013.9
1.0,1831.0,1837.0,0.0,295.0,670.39999999999998
1.0,1936.0,1943.0,0.0,306.0,481.69999999999999
1.0,2044.0,2050.0,0.0,316.0,337.5
1.0,2150.0,2163.0,0.0,326.0,172.59999999999999
1.0,2260.0,2274.0,0.0,336.0,91.400000000000006
1.0,2372.0,2384.0,0.0,345.0,28.300000000000001
1.0,2484.0,2498.0,0.0,356.0,12.800000000000001
1.0,2600.0,2616.0,0.0,366.0,14.800000000000001
1.0,2719.0,2737.0,0.0,376.0,13.5
1.0,2840.0,2859.0,0.0,386.0,13.1
1.0,2960.0,2979.0,0.0,397.0,15.6
1.0,3080.0,3103.0,0.0,407.0,16.0
1.0,3204.0,3227.0,0.0,417.0,16.0
1.0,3330.0,3355.0,0.0,427.0,21.199999999999999
1.0,3456.0,3485.0,0.0,438.0,36.600000000000001
1.0,3586.0,3613.0,0.0,448.0,104.7
1.0,3716.0,3744.0,0.0,457.0,390.30000000000001
1.0,3847.0,3876.0,0.0,467.0,665.5
1.0,3980.0,4011.0,0.0,478.0,893.39999999999998
1.0,4116.0,4147.0,0.0,488.0,1094.5
1.0,4252.0,4284.0,0.0,498.0,1256.3
1.0,4390.0,4423.0,0.0,508.0,13.6
1.0,4530.0,4564.0,0.0,519.0,12.699999999999999
1.0,4670.0,4709.0,0.0,529.0,15.5
1.0,4812.0,4849.0,0.0,539.0,18.0
1.0,4954.0,4992.0,0.0,549.0,19.899999999999999
1.0,5096.0,5137.0,0.0,559.0,35.0
1.0,5240.0,5285.0,0.0,569.0,100.7
1.0,5387.0,5433.0,0.0,579.0,352.80000000000001
1.0,5534.0,5579.0,0.0,589.0,592.79999999999995
1.0,5683.0,5727.0,0.0,599.0,752.5
