index,encoder1,encoder2,turn angle degrees,ms,mA
1.0,0.0,0.0,0.0,0.0,17.0
1.0,2.0,3.0,0.0,7.0,2176.0
1.0,15.0,16.0,0.0,14.0,2527.2
1.0,38.0,32.0,0.0,21.0,2544.6
1.0,86.0,56.0,0.0,31.0,20.1
1.0,124.0,80.0,0.0,41.0,2022.8
1.0,153.0,110.0,0.0,50.0,1883.1
1.0,188.0,144.0,0.0,61.0,1321.7
1.0,236.0,179.0,0.0,71.0,37.3
1.0,289.0,226.0,0.0,81.0,105.0
1.0,344.0,283.0,0.0,91.0,535.6
1.0,402.0,345.0,0.0,102.0,972.1
1.0,466.0,411.0,0.0,112.0,1292.4
1.0,536.0,482.0,0.0,122.0,1624.5
1.0,608.0,556.0,0.0,132.0,1719.3
1.0,679.0,630.0,0.0,143.0,1757.5
1.0,754.0,709.0,0.0,153.0,1435.2
1.0,837.0,794.0,0.0,163.0,1303.0
1.0,925.0,882.0,0.0,172.0,866.1
1.0,1014.0,976.0,0.0,183.0,594.8
1.0,1107.0,1071.0,0.0,193.0,432.4
1.0,1205.0,1167.0,0.0,203.0,232.9
1.0,1303.0,1266.0,0.0,213.0,106.5
1.0,1402.0,1368.0,0.0,223.0,35.2
1.0,1504.0,1472.0,0.0,234.0,14.1
1.0,1613.0,1578.0,0.0,244.0,14.9
1.0,1727.0,1693.0,0.0,254.0,17.2
1.0,1843.0,1811.0,0.0,264.0,15.6
1.0,1960.0,1928.0,0.0,274.0,16.3
1.0,2076.0,2049.0,0.0,284.0,18.8
1.0,2194.0,2170.0,0.0,294.0,20.1
1.0,2318.0,2293.0,0.0,304.0,478.6
1.0,2446.0,2421.0,0.0,315.0,293.7
1.0,2574.0,2553.0,0.0,325.0,177.4
1.0,2704.0,2687.0,0.0,335.0,72.6
1.0,2834.0,2822.0,0.0,345.0,19.1
1.0,2970.0,2958.0,0.0,356.0,15.0
1.0,3110.0,3097.0,0.0,366.0,13.8
1.0,3249.0,3242.0,0.0,376.0,12.4
1.0,3388.0,3386.0,0.0,385.0,15.5
1.0,3531.0,3529.0,0.0,396.0,15.7
1.0,3680.0,3677.0,0.0,406.0,15.3
1.0,3830.0,3830.0,0.0,416.0,20.4
1.0,3978.0,3982.0,0.0,426.0,27.8
1.0,4130.0,4133.0,0.0,436.0,60.6
1.0,4288.0,4286.0,0.0,447.0,283.3
1.0,4446.0,4443.0,0.0,457.0,548.9
1.0,4605.0,4602.0,0.0,467.0,791.7
1.0,4766.0,4760.0,0.0,477.0,1082.7
1.0,4930.0,4922.0,0.0,488.0,1186.9
