index,encoder1,encoder2,turn angle degrees,ms,mA
1.0,0.0,0.0,0.0,0.0,1448.1
1.0,3.0,3.0,0.0,7.0,17.7
1.0,13.0,13.0,0.0,13.0,17.5
1.0,27.0,28.0,0.0,20.0,17.0
1.0,41.0,51.0,0.0,30.0,19.8
1.0,56.0,69.0,0.0,40.0,20.6
1.0,76.0,91.0,0.0,50.0,23.5
1.0,94.0,119.0,0.0,60.0,32.0
1.0,120.0,149.0,0.0,71.0,65.3
1.0,156.0,186.0,0.0,81.0,274.2
1.0,196.0,229.0,0.0,91.0,629.0
1.0,240.0,269.0,0.0,101.0,839.8
1.0,287.0,313.0,0.0,112.0,1102.6
1.0,337.0,362.0,0.0,122.0,1450.3
1.0,388.0,410.0,0.0,131.0,1287.5
1.0,439.0,459.0,0.0,141.0,18.4
1.0,492.0,515.0,0.0,152.0,17.9
1.0,548.0,576.0,0.0,162.0,19.5
1.0,607.0,639.0,0.0,172.0,24.9
1.0,666.0,703.0,0.0,182.0,48.3
1.0,728.0,766.0,0.0,192.0,169.7
1.0,792.0,832.0,0.0,203.0,438.5
1.0,858.0,900.0,0.0,213.0,654.2
1.0,928.0,970.0,0.0,223.0,938.6
1.0,1000.0,1037.0,0.0,233.0,1103.5
1.0,1074.0,1107.0,0.0,243.0,1206.5
1.0,1150.0,1182.0,0.0,253.0,1003.4
1.0,1229.0,1260.0,0.0,263.0,796.3
1.0,1308.0,1337.0,0.0,273.0,633.7
1.0,1384.0,1417.0,0.0,284.0,453.9
1.0,1460.0,1498.0,0.0,294.0,307.0
1.0,1544.0,1583.0,0.0,304.0,160.5
1.0,1628.0,1668.0,0.0,314.0,72.3
1.0,1712.0,1755.0,0.0,325.0,26.6
1.0,1799.0,1846.0,0.0,335.0,11.9
1.0,1892.0,1940.0,0.0,344.0,12.8
1.0,1984.0,2031.0,0.0,354.0,13.9
1.0,2075.0,2123.0,0.0,365.0,15.1
1.0,2168.0,2218.0,0.0,375.0,15.3
1.0,2262.0,2312.0,0.0,385.0,16.9
1.0,2356.0,2407.0,0.0,395.0,20.8
1.0,2454.0,2507.0,0.0,405.0,26.3
1.0,2555.0,2607.0,0.0,416.0,56.8
1.0,2654.0,2710.0,0.0,426.0,85.0
1.0,2756.0,2814.0,0.0,436.0,27.2
1.0,2859.0,2916.0,0.0,446.0,11.5
1.0,2962.0,3019.0,0.0,456.0,10.4
1.0,3068.0,3126.0,0.0,466.0,12.6
1.0,3176.0,3232.0,0.0,476.0,13.6
1.0,3282.0,3339.0,0.0,486.0,12.9
1.0,3390.0,3449.0,0.0,497.0,15.6
1.0,3499.0,3559.0,0.0,507.0,17.7
1.0,3608.0,3671.0,0.0,517.0,22.4
1.0,3717.0,3781.0,0.0,527.0,45.8
1.0,3827.0,3894.0,0.0,538.0,171.5
1.0,3938.0,4009.0,0.0,548.0,401.8
1.0,4052.0,4122.0,0.0,557.0,633.2
1.0,4166.0,4235.0,0.0,567.0,741.2
1.0,4282.0,4354.0,0.0,578.0,842.1
1.0,4398.0,4471.0,0.0,588.0,1023.2
1.0,4512.0,4587.0,0.0,598.0,939.2
